Series Number,File Name,Description,Gender,UUID
261,paul-the-comedian,Paul trying hard to make everyone laugh so hard and fall off the chair,Male,f8112915-64ca-41e5-9ca4-5b60c47d7a01
262,amina-lagos-housewife,Amina is always showing the rich housewife vibes,Female,5612f542-d85e-4a2c-8661-20553dfd07bf
263,kiekie-the-asoebibella,Kiekie is classfied as the life of the party,Female,097014d5-0ef3-46f5-9a9b-5c01f70114b3
264,kunle-the-hunter,Kunle goes for the best and hits all his targets at bull's eye,Male,b0310fc2-4bed-48e5-abfc-566c964786d7
265,amara-the-hairstylist,Amara is truly your one stop shop for all your hair & beauty needs.,Female,412345b9-7e04-4102-af7c-5458721ac64d
266,mary-nail-technician,Mary makes magic with her press-on nails,Female,17ea9c3b-c90f-4023-84d6-d563c098b030
267,odogwu-oil-contractor,"From Malaysia to Kaduna, Odogwu's oil is known.",Male,b503bbfb-f972-4d4a-9352-e9dfe6671d36
268,simisola-the-kenteprincess,Simisola rocks kente even in swim outfits,Female,45843017-b421-4413-8e35-7a6ef073f2b9
269,mariam-beauty-queen,Beauty is a fairy tale where Mariam appears.,Female,b7d96d97-84c2-485f-b60e-e4e86c4d3b34
270,obinna-the-musician,Obinna might never be an a-list artist,Male,afdb0299-327c-46b2-9262-faf90f0fcd12
271,sandra-the-shybaby,Sandra is too shy at parties,Female,bfed40a8-74f7-4ada-ae18-975130247efa
272,chiamaka-the-dancer,Chiamaka dances so well and earned the Guinness world record.,Female,43c49497-8d7b-42ef-bb29-769f6c3b0ada
273,mensah-fashion-icon,Mensah outfits are always giving us Christopher Hemsworth vibes.,Male,87ada09b-38ac-475c-8d46-18680c2dc795
274,lucy-the-fumigator,Lucy is nicknamed the pest hilter,Female,c7269d44-aab3-41e7-a54f-18a14f575a6b
275,nneka-wedding-planner,Nneka plans the best weddings with great details.,Female,31ac6b7a-e378-4dc3-999d-b9e8d8473f99
276,shakira-the-gangster,Shakira is the most feared criminal.,Female,dbdc1351-aa07-46e2-935f-2db071b1b23d
277,lola-afropopping-princess,Lola licks lollipops like an afropop queen,Female,2f5cadae-e423-4478-8220-37b3ac144169
278,sharon-walking-dead,When tired Sharon walks like the dead,Female,1fc37341-7dd1-480c-a01b-a63bee0a2230
279,olivia-great-teacher,Students enjoys Olivia's classes,Female,cfc4419e-bd46-40f6-9654-632ac1138ff1
280,nicole-sleep-warrior,"Nicole holds the sleep award in our community, she wouldn't wake up at the sound of a detonated nuclear bomb.",Female,710ae821-4603-4124-bd60-a33b515b3b8d
